_time,_value
2023-12-17T02:36:32.286023858Z,85
2023-12-17T02:36:42.595747912Z,94
2023-12-17T02:36:52.927819475Z,81
2023-12-17T02:37:03.224260946Z,72
2023-12-17T02:37:13.547008921Z,82
2023-12-17T02:37:23.881302361Z,75
2023-12-17T02:37:34.214506119Z,76
2023-12-17T02:37:44.391704078Z,67
2023-12-17T02:37:54.717944279Z,84
2023-12-17T02:38:05.028644257Z,82
2023-12-17T02:38:15.132187817Z,89
2023-12-17T02:38:25.428419524Z,74
2023-12-17T02:38:35.741740321Z,88
2023-12-17T02:38:46.053747309Z,88
2023-12-17T02:38:56.398471257Z,82
2023-12-17T02:39:06.725130106Z,80
2023-12-17T02:39:16.836199355Z,83
2023-12-17T02:39:26.999907109Z,79
2023-12-17T02:39:37.158714384Z,73
2023-12-17T02:39:47.486580863Z,88
2023-12-17T02:39:57.780713602Z,93
2023-12-17T02:40:08.124193205Z,80
2023-12-17T02:40:18.471858933Z,98
2023-12-17T02:40:28.787633181Z,93
2023-12-17T02:40:39.151512389Z,72
2023-12-17T02:40:49.449224633Z,56
2023-12-17T02:40:59.783465571Z,60
2023-12-17T02:41:09.894670903Z,70
2023-12-17T02:41:20.221246317Z,88
2023-12-17T02:41:30.534285938Z,65
2023-12-17T02:41:40.646184501Z,57
2023-12-17T02:41:50.980490687Z,64
2023-12-17T02:42:01.312499423Z,62
2023-12-17T02:42:11.646118359Z,68
2023-12-17T02:42:21.99116872Z,65
2023-12-17T02:42:32.138858198Z,60
2023-12-17T02:42:42.48091697Z,51
2023-12-17T02:42:52.57825691Z,57
2023-12-17T02:43:02.927906543Z,51
2023-12-17T02:43:13.249268432Z,51
2023-12-17T02:43:23.359671125Z,46
2023-12-17T02:43:33.659093663Z,44
2023-12-17T02:43:43.970860861Z,45
2023-12-17T02:43:54.325072425Z,53
2023-12-17T02:44:04.47530939Z,70
2023-12-17T02:44:14.796313194Z,66
2023-12-17T02:44:24.941332667Z,69
2023-12-17T02:44:35.270359318Z,61
2023-12-17T02:44:45.672335594Z,75
2023-12-17T02:44:55.995727218Z,77
2023-12-17T02:45:06.348632353Z,73
2023-12-17T02:45:16.679720367Z,82
2023-12-17T02:45:27.068532591Z,67
2023-12-17T02:45:37.379119765Z,51
2023-12-17T02:45:47.720953418Z,61
2023-12-17T02:45:58.088279183Z,65
2023-12-17T02:46:08.188288325Z,68
2023-12-17T02:46:18.545661894Z,86
2023-12-17T02:46:28.695288751Z,101
2023-12-17T02:46:39.041268606Z,70
2023-12-17T02:46:49.399161033Z,68
2023-12-17T02:46:59.531464006Z,66
2023-12-17T02:47:09.869083124Z,79
2023-12-17T02:47:20.219271721Z,77
2023-12-17T02:47:30.537732746Z,77
2023-12-17T02:47:40.847831544Z,65
2023-12-17T02:47:51.189822415Z,76
2023-12-17T02:48:01.516528471Z,66
2023-12-17T02:48:11.750796632Z,66
2023-12-17T02:48:22.095778022Z,73
2023-12-17T02:48:32.48798914Z,60
2023-12-17T02:48:42.62540569Z,59
2023-12-17T02:48:52.731408003Z,46
2023-12-17T02:49:03.029681553Z,75
2023-12-17T02:49:13.370958235Z,46
2023-12-17T02:49:23.54482172Z,55
2023-12-17T02:49:33.887239563Z,61
2023-12-17T02:49:44.216311143Z,63
2023-12-17T02:49:54.532223234Z,62
2023-12-17T02:50:04.875733031Z,57
2023-12-17T02:50:14.97858451Z,48
2023-12-17T02:50:25.279489873Z,52
2023-12-17T02:50:35.615453179Z,52
2023-12-17T02:50:45.767244863Z,62
2023-12-17T02:50:56.09255171Z,62
2023-12-17T02:51:06.396416522Z,60
2023-12-17T02:51:16.738117796Z,44
2023-12-17T02:51:27.078948221Z,56
2023-12-17T02:51:37.397746332Z,105
2023-12-17T02:51:47.708508194Z,61
2023-12-17T02:51:58.076467892Z,59
2023-12-17T02:52:08.391571705Z,71
2023-12-17T02:52:18.718192026Z,72
2023-12-17T02:52:29.023747564Z,69
2023-12-17T02:52:39.3753137Z,76
2023-12-17T02:52:49.696144338Z,91
2023-12-17T02:53:00.002194808Z,85
2023-12-17T02:53:10.303707053Z,89
2023-12-17T02:53:20.607998648Z,71
2023-12-17T02:53:30.718252663Z,51
2023-12-17T02:53:41.022933235Z,81
2023-12-17T02:53:51.326827327Z,84
2023-12-17T02:54:01.654063983Z,71
2023-12-17T02:54:11.973907773Z,79
2023-12-17T02:54:22.309975538Z,89
2023-12-17T02:54:32.63634031Z,82
2023-12-17T02:54:42.947624252Z,88
2023-12-17T02:54:53.255214924Z,85
2023-12-17T02:55:03.58655883Z,86
2023-12-17T02:55:13.939623226Z,70
2023-12-17T02:55:24.260650566Z,81
2023-12-17T02:55:34.600384731Z,81
