,result,table,_start,_stop,_time,_value,_field,_measurement,backhaul_host
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:56:07.395967647Z,38.9,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:56:14.10281165Z,36.3,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:56:20.579563662Z,36.3,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:56:27.065462866Z,36.3,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:56:33.603909861Z,20.2,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:56:40.217911022Z,20.2,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:56:46.916212788Z,20.2,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:56:53.610382478Z,30,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:57:00.195059689Z,30,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:57:06.729707999Z,30,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:57:15.074251051Z,38.5,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:57:22.430757323Z,38.5,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:57:29.054223901Z,38.5,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:57:35.83172691Z,27.9,airtime,airtime,10.0.10.223
